ID,Text,From,To,Context
"Early-Modern-English-ɑʊ_2","ɑʊ → ɑː / _N (sometimes)","ɑʊ","ɑː",_N
"Early-Modern-English-ɑʊ_3","ɑʊ → ɔː / else","ɑʊ","ɔː",
Early-Modern-English-a,"a → ɑː / “in a few words, like ‘father’”",a,"ɑː",
Early-Modern-English-a_2,"a → æ / else",a,"æ",
"Early-Modern-English-əɪ-əʊ","əɪ əʊ → ɑi æʊ / “in some parts of South-Eastern England”","əɪ","ɑi",
"Early-Modern-English-əɪ-əʊ","əɪ əʊ → ɑi æʊ / “in some parts of South-Eastern England”","əʊ","æʊ",
"Early-Modern-English-əɪ-əʊ_2","əɪ əʊ → aɪ aʊ / “in most of Britain”","əɪ","aɪ",
"Early-Modern-English-əɪ-əʊ_2","əɪ əʊ → aɪ aʊ / “in most of Britain”","əʊ","aʊ",
"Early-Modern-English-eː-oː","eː oː → eɪ oʊ / ! _ɹ","eː","eɪ","_ɹ"
"Early-Modern-English-eː-oː","eː oː → eɪ oʊ / ! _ɹ","oː","oʊ","_ɹ"
"American-English-æ","æ → æː (e.g., NYC) or ɑː (e.g., Boston) / _{F[-voiced],N[-voiced]} (“words which change vary between dialects”)","æ","æː",_F[-voiced]|_N[-voiced]
"American-English-ɒ","ɒ → ɒː → ɔː / _F[-voiced]","ɒ","ɒː",_F[-voiced]
"American-English-ɒ","ɒ → ɒː → ɔː / _F[-voiced]","ɒː","ɔː",_F[-voiced]
"American-English-æː-ɑː-ɔː","æː ɑː ɔː → æə~eə ɑ ɔ","æː","æə~eə",
"American-English-æː-ɑː-ɔː","æː ɑː ɔː → æə~eə ɑ ɔ","ɑː","ɑ",
"American-English-æː-ɑː-ɔː","æː ɑː ɔː → æə~eə ɑ ɔ","ɔː","ɔ",
"American-English-ʍ","ʍ → w (regional)","ʍ",w,
American-English-l,"l → ɫ / “in some conditions”",l,"ɫ",
"American-English-ɪ","ɪ → i / _# when unstressed","ɪ",i,_#
"American-English-t,d","{t,d} → ɾ / V_V[-stress]",t|d,"ɾ",V_V[-stress]
American-English-i-u-e,"i u e → ɪ ʊ ɛ / _ɹ",i,"ɪ","_ɹ"
American-English-i-u-e,"i u e → ɪ ʊ ɛ / _ɹ",u,"ʊ","_ɹ"
American-English-i-u-e,"i u e → ɪ ʊ ɛ / _ɹ",e,"ɛ","_ɹ"
"American-English-o-ɔ","o ɔ → ɔ ɒ / _ɹ (most dialects have at least one if not both)",o,"ɔ","_ɹ"
"American-English-o-ɔ","o ɔ → ɔ ɒ / _ɹ (most dialects have at least one if not both)","ɔ","ɒ","_ɹ"
"American-English-æ_2","æ → ɛ / _ɹ","æ","ɛ","_ɹ"
American-English-j,"j → ∅ / {θ,s,z,l,n,t,d}_ when in onset position",j,"∅","θ_|s_|z_|l_|n_|t_|d_"
"American-English-ɒ_2","ɒ → ɔ / _K “(partial)”","ɒ","ɔ",_K
"American-English-æ_3","æ → ɛə / _{n,m} “and others depending on dialect”","æ","ɛə",_n|_m
"American-English-eə","eə → eː","eə","eː",
"American-English-iə","iə → ɪ (ongoing)","iə","ɪ",
American-English-w,"w → ∅ / C_ɹ for some C (toward(s), quart(er), sword)",w,"∅","C_ɹ"
American-English-t,"t → ∅ / f_n̩",t,"∅","f_n̩"
"Australian-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","ɜːɹ","ɜː",
"Australian-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","ɑːɹ","ɑː",
"Australian-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","ɔːɹ","ɔː",
"Australian-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","eːɹ","ɛə",
"Australian-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","oːɹ","ɔə",
"Australian-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","iːɹ","ɪə",
"Australian-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","uːɹ","ʊə",
"Australian-English-ɑ","ɑ → ɒ","ɑ","ɒ",
"Australian-English-æ","æ → æː → ɑː / _{F[-voiced],N[-voiced]}","æ","æː",_F[-voiced]|_N[-voiced]
"Australian-English-æ","æ → æː → ɑː / _{F[-voiced],N[-voiced]}","æː","ɑː",_F[-voiced]|_N[-voiced]
"Australian-English-ɒ","ɒ → ɒː → ɔː / _F[-voiced]","ɒ","ɒː",_F[-voiced]
"Australian-English-ɒ","ɒ → ɒː → ɔː / _F[-voiced]","ɒː","ɔː",_F[-voiced]
"Australian-English-ʍ","ʍ → w","ʍ",w,
Australian-English-l,"l → ɫ (the conditions of this are not elaborated upon)",l,"ɫ",
"Australian-English-oʊ-iː","oʊ iː → ɔʊ ɪə / _ɫ","oʊ","ɔʊ","_ɫ"
"Australian-English-oʊ-iː","oʊ iː → ɔʊ ɪə / _ɫ","iː","ɪə","_ɫ"
"Australian-English-oʊ-iː_2","oʊ iː → əʊ ɪi / else","oʊ","əʊ",
"Australian-English-oʊ-iː_2","oʊ iː → əʊ ɪi / else","iː","ɪi",
"Australian-English-uː","uː → ʊə → uː / _ɫ ! in Queensland and New South Wales","uː","ʊə","_ɫ"
"Australian-English-uː","uː → ʊə → uː / _ɫ ! in Queensland and New South Wales","ʊə","uː","_ɫ"
"Australian-English-uː_2","uː → ʊʉ → ʉː / else","uː","ʊʉ",
"Australian-English-uː_2","uː → ʊʉ → ʉː / else","ʊʉ","ʉː",
"Australian-English-ɫ","ɫ → əɫ / ! if one of the above vowel changes after the formation of /ɫ/ apply","ɫ","əɫ",
"Australian-English-ɪ","ɪ → iː / _# when unstressed","ɪ","iː",_#
"Australian-English-ɪ_2","ɪ → iː / “unstressed foot-finally if the next syllable is stressed and begins with /k ɡ tʃ dʒ ʃ ʒ/”","ɪ","iː",
"Australian-English-ɪ_3","ɪ → ə / unstressed","ɪ","ə",
"Australian-English-ə","ə → ɪ / _{k,ɡ,tʃ,dʒ,ʃ,ʒ,v}","ə","ɪ","_k|_ɡ|_tʃ|_dʒ|_ʃ|_ʒ|_v"
Australian-English-t-d,"t d → ɾ / V_V[-stress]",t,"ɾ",V_V[-stress]
Australian-English-t-d,"t d → ɾ / V_V[-stress]",d,,V_V[-stress]
"Australian-English-ɔə","ɔə → ɔː","ɔə","ɔː",
"Australian-English-ɛə-ʊə","ɛə ʊə → ɛː ɔː (ongoing)","ɛə","ɛː",
"Australian-English-ɛə-ʊə","ɛə ʊə → ɛː ɔː (ongoing)","ʊə","ɔː",
"Australian-English-ʊə","ʊə → oː / ! {j,dʒ}_","ʊə","oː","j_|dʒ_"
"Australian-English-ʊə_2","ʊə → ʉːwə / “almost always otherwise, but see [above vowel changes after /ɫ/ is formed]”","ʊə","ʉːwə",
"Australian-English-oə","oə → oː","oə","oː",
Australian-English-j,"j → ∅ / %{θ,s,z,l}_”V",j,"∅","%θ_”V|%s_”V|%z_”V|%l_”V"
Australian-English-sj-zj-lj,"sj zj lj → ʃ ʒ j~ɫj / else “(j~ɫj fluctuation is formality)”",sj,"ʃ",
Australian-English-sj-zj-lj,"sj zj lj → ʃ ʒ j~ɫj / else “(j~ɫj fluctuation is formality)”",zj,"ʒ",
Australian-English-sj-zj-lj,"sj zj lj → ʃ ʒ j~ɫj / else “(j~ɫj fluctuation is formality)”",lj,"j~ɫj",
"Australian-English-ɫj","ɫj → ɫi / “after any segment after which coda-/ɫ/ is forbidden, e.g. failure [fæiɫiɐ]”","ɫj","ɫi",
Australian-English-tj-dj,"tj dj → tʃ dʒ",tj,"tʃ",
Australian-English-tj-dj,"tj dj → tʃ dʒ",dj,"dʒ",
"Australian-English-ɔː","ɔː → ɔ / _ɹV[-stress]","ɔː","ɔ","_ɹV[-stress]"
"Australian-English-ɔː_2","ɔː → ɔ / _F[-voiced]","ɔː","ɔ",_F[-voiced]
"Australian-English-ɔ","ɔ → ɔː / “in ‘gone’ and some derivatives”","ɔ","ɔː",
"Australian-English-æ_2","æ → æː / _{n,m,ɡ,ɫ% ! _n,m,ɡ,ɫ}%{j,w} or a form of a strong verb","æ","æː","_{n,m,ɡ,ɫ% ! _n,m,ɡ,ɫ}%j|_n,m,ɡ,ɫ}%w"
"Australian-English-æ_3","æ → æː / _d (rare) ! form of a strong verb","æ","æː",_d
"British-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","ɜːɹ","ɜː",
"British-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","ɑːɹ","ɑː",
"British-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","ɔːɹ","ɔː",
"British-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","eːɹ","ɛə",
"British-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","oːɹ","ɔə",
"British-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","iːɹ","ɪə",
"British-English-ɜːɹ-ɑːɹ-ɔːɹ-eːɹ-oːɹ-iːɹ-uːɹ","ɜːɹ ɑːɹ ɔːɹ eːɹ oːɹ iːɹ uːɹ → ɜː ɑː ɔː ɛə ɔə ɪə ʊə / syllable-finally","uːɹ","ʊə",
"British-English-ɑ","ɑ → ɒ","ɑ","ɒ",
"British-English-æ","æ → æː → ɑː / _{F[-voiced],N[-voiced]}","æ","æː",_F[-voiced]|_N[-voiced]
"British-English-æ","æ → æː → ɑː / _{F[-voiced],N[-voiced]}","æː","ɑː",_F[-voiced]|_N[-voiced]
"British-English-ɒ","ɒ → ɒː → ɔː / _F[-voiced]","ɒ","ɒː",_F[-voiced]
"British-English-ɒ","ɒ → ɒː → ɔː / _F[-voiced]","ɒː","ɔː",_F[-voiced]
"British-English-ʍ","ʍ → w","ʍ",w,
British-English-l,"l → ɫ / “in coda”",l,"ɫ",
"British-English-oʊ","oʊ → əʊ","oʊ","əʊ",
"Northern-Middle-English-Vː","Vː → V[-long] / _C{ː,C} ! _st{#,V} or when preceding a cluster which had triggered a vowel to become long in Old English; the book gives “Christ” vs. “Christmas” as an example","Vː",V[-long],"_Cː|_CC ! _st#|_stV"
"Northern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː","eɑ","ɑ",
"Northern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː","eːɑ","ɛː",
"Northern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː",eo,e,
"Northern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː","eːo","eː",
"Northern-Middle-English-æj","æj → aj → ej","æj",aj,
"Northern-Middle-English-æj","æj → aj → ej",aj,ej,
"Northern-Middle-English-æːj,eːj","{æːj,e(ː)j} → ej","æːj|ej|æːj|eːj",ej,
"Northern-Middle-English-ɑɣ","ɑɣ → ɑw","ɑɣ","ɑw",
"Northern-Middle-English-eɑh,eɑç,eɑx,eɑʝ,eɑɣ","{eɑh,eɑç,eɑx,eɑʝ,eɑɣ} → ɑw","eɑh|eɑç|eɑx|eɑʝ|eɑɣ","ɑw",
"Northern-Middle-English-eːɑw-iːw","eːɑw iːw → ew ju","eːɑw",ew,
"Northern-Middle-English-eːɑw-iːw","eːɑw iːw → ew ju","iːw",ju,
"Northern-Middle-English-ɑːw,ɑːɣ,oːw","{ɑːw,ɑːɣ,oːw} → ɔːw","ɑːw|ɑːɣ|oːw","ɔːw",
"Northern-Middle-English-oɣ","oɣ → ɔːw / _V","oɣ","ɔːw",_V
"Northern-Middle-English-ɑːht,oːht","{ɑːht,o(ː)ht} → ow ","ɑːht|oht|ɑːht|oːht",ow,
"Northern-Middle-English-ɑ-e-o","ɑ e o → ɑː ɛː oː / in U[+open] ! in #U with the following U containing /iː/ or ending in one of /m n r l/","ɑ","ɑː",
"Northern-Middle-English-ɑ-e-o","ɑ e o → ɑː ɛː oː / in U[+open] ! in #U with the following U containing /iː/ or ending in one of /m n r l/",e,"ɛː",
"Northern-Middle-English-ɑ-e-o","ɑ e o → ɑː ɛː oː / in U[+open] ! in #U with the following U containing /iː/ or ending in one of /m n r l/",o,"oː",
"Northern-Middle-English-yː","y(ː) → i(ː)","y|yː","i|iː",
"Northern-Middle-English-Vː_2","Vː → V[-long] / in #U before a U with /iː/","Vː",V[-long],
Northern-Middle-English-n,"n → ∅ / _# when unstressed (not clear as to whether m → n beforehand in this position or not)",n,"∅",_#
"Northern-Middle-English-j-tʃ","j tʃ → ɡ k",j,"ɡ",
"Northern-Middle-English-j-tʃ","j tʃ → ɡ k","tʃ",k,
"Northern-Middle-English-ʃ","ʃ → s / in unstressed syllables","ʃ",s,
"Northern-Middle-English-hn-wl,hl-hr","hn {wl,hl} hr → w l r",hn,w,
"Northern-Middle-English-hn-wl,hl-hr","hn {wl,hl} hr → w l r",wl|hl,l,
"Northern-Middle-English-hn-wl,hl-hr","hn {wl,hl} hr → w l r",hr,r,
"Northern-Middle-English-ɣ","ɣ → ɡ / #_","ɣ","ɡ",#_
"Northern-Middle-English-ɣ_2","ɣ → w / C_V","ɣ",w,C_V
"Northern-Middle-English-e,ɑ,o","{e,ɑ,o} → ə → ∅ / _#, when unstressed (it appears this sound may also have gone to /ɪ/)","e|ɑ|o","ə","_#,"
"Northern-Middle-English-e,ɑ,o","{e,ɑ,o} → ə → ∅ / _#, when unstressed (it appears this sound may also have gone to /ɪ/)","ə","∅","_#,"
Scots-b,"b → ∅ / m_l",b,"∅",m_l
Scots-t,"t → ∅ / {p,k}_# (“except in some inflected forms” for *kt)",t,"∅",p_#|k_#
Scots-d,"d → ∅ / n_",d,"∅",n_
Scots-d_2,"d → ∅ / l_#",d,"∅",l_#
Scots-s,"s → ʃ / _E (E_ also?)",s,"ʃ",_E
Scots-f,"f → ∅ “in certain contexts”",f,"∅",
"Scots-ɸ,x","{ɸ,x} → ∅ / _# (seems to be sporadic)","ɸ|x","∅",_#
"Scots-ʍ","ʍ → xw (some speakers seem to have resisted this)","ʍ",xw,
"Scots-oɡ","oɡ → ʌu","oɡ","ʌu",
Scots-ol-al,"ol al → ou ɑː → ʌu {ɑ,ɔ}",ol,ou,
Scots-ol-al,"ol al → ou ɑː → ʌu {ɑ,ɔ}",al,"ɑː",
Scots-ol-al,"ol al → ou ɑː → ʌu {ɑ,ɔ}",ou,"ʌu",
Scots-ol-al,"ol al → ou ɑː → ʌu {ɑ,ɔ}","ɑː","ɑ|ɔ",
"Scots-—-ai","— ai → ɛi → əi / when stem-final",ai,"ɛi",
"Scots-—-ai","— ai → ɛi → əi / when stem-final","ɛi","əi",
"Scots-—-uː","— uː → ʌu / when-stem final, in northern varieties","uː","ʌu",
"Scots-—-øː","— øː → wi / {k,ɡ}_ (in Mid Northern dialects)","øː",wi,"k_|ɡ_"
"Scots-—-øː_2","— øː → i (in northern dialects)","øː",i,
"Scots-—-øː_3","— øː → (j){u,ʌ} / _{k,x} (outcome varies depending upon dialect)","øː","u|ʌ|ju|jʌ",_k|_x
"Scots-—-a","— a → i / _n (in northern varieties)",a,i,_n
"Scots-—-a_2","— a → e / _n (otherwise)",a,e,_n
"Scots-—-a_3","— a → {ɛ,e} / _rC",a,"ɛ|e",_rC
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u",ai,"eː",
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u",oi,oe,
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u",ui,"əi",
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u",ei,"iː",
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u",au,"ɑː|ɔː",
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u",ou,"ʌu",
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u",iu,ju,
"Scots-—-ai-oi-ui-ei-au-ou-iu-ɛou","— ai oi ui ei au ou iu ɛ(o)u → eː oe əi iː {ɑː,ɔː} ʌu ju j(ʌ)u","ɛu|ɛou","ju|jʌu",
"Scots-—-ɛː","— ɛː → ɛi (→ əi?) / in some northern varieties","ɛː","ɛi",
"Scots-—-ɛː","— ɛː → ɛi (→ əi?) / in some northern varieties","ɛi","əi",
"Scots-—-iː-eː-ɛː-aː-oː-uː-øː,yː","— iː eː ɛː aː oː uː {øː,yː} → əi i {i,e} e o u ø","iː","əi",
"Scots-—-iː-eː-ɛː-aː-oː-uː-øː,yː","— iː eː ɛː aː oː uː {øː,yː} → əi i {i,e} e o u ø","eː",i,
"Scots-—-iː-eː-ɛː-aː-oː-uː-øː,yː","— iː eː ɛː aː oː uː {øː,yː} → əi i {i,e} e o u ø","ɛː",i|e,
"Scots-—-iː-eː-ɛː-aː-oː-uː-øː,yː","— iː eː ɛː aː oː uː {øː,yː} → əi i {i,e} e o u ø","aː",e,
"Scots-—-iː-eː-ɛː-aː-oː-uː-øː,yː","— iː eː ɛː aː oː uː {øː,yː} → əi i {i,e} e o u ø","oː",o,
"Scots-—-iː-eː-ɛː-aː-oː-uː-øː,yː","— iː eː ɛː aː oː uː {øː,yː} → əi i {i,e} e o u ø","uː",u,
"Scots-—-iː-eː-ɛː-aː-oː-uː-øː,yː","— iː eː ɛː aː oː uː {øː,yː} → əi i {i,e} e o u ø","øː|yː","ø",
"Scots-—-æ","— æ → ɛ / _C[+alveolar]","æ","ɛ",_C[+alveolar]
"Scots-—-a-ɔ-u","— a ɔ u → {a,ɑ} ɔ ʌ",a,"a|ɑ",
"Scots-—-a-ɔ-u","— a ɔ u → {a,ɑ} ɔ ʌ","ɔ","ɔ",
"Scots-—-a-ɔ-u","— a ɔ u → {a,ɑ} ɔ ʌ",u,"ʌ",
"Scots-—-V","— V → Vː / _{r,F[+voiced],$,#}",V,"Vː",_r|_F[+voiced]|_$|_#
"Scots-—-əi","— əi → aɪ / _{r,F[+voiced],$,#} (pursuant to the above)","əi","aɪ",_r|_F[+voiced]|_$|_#
"Scots_2-æː","æː → ɛː","æː","ɛː",
"Scots_2-ɑ","ɑ → a / ! _{l,r} (sporadic)","ɑ",a,_l|_r
"Scots_2-oː","oː → ju / {n,x}_","oː",ju,n_|x_
"Scots_2-oː_2","oː → iu / _K","oː",iu,_K
"Scots_2-oː_3","oː → ø","oː","ø",
"Scots_2-øː","øː → eː “(not a thorough change)”","øː","eː",
"Scots_2-ø","ø → ɪ","ø","ɪ",
"Scots_2-æːɑ-eːo","æː(ɑ) eː(o) → ɛ iː","æː|æːɑ","ɛ",
"Scots_2-æːɑ-eːo","æː(ɑ) eː(o) → ɛ iː","eː|eːo","iː",
"Scots_2-ɛ","ɛ → ɜi → i / _{m,ɲ}","ɛ","ɜi","_m|_ɲ"
"Scots_2-ɛ","ɛ → ɜi → i / _{m,ɲ}","ɜi",i,"_m|_ɲ"
Scots_2-ai,"ai → aː",ai,"aː",
Scots_2-e,"e → ɛ / _nt",e,"ɛ",_nt
"Scots_2-y,i","{y,i} → ɪ",y|i,"ɪ",
"Scots_2-ɪ","ɪ → ɜ / _{K,r}","ɪ","ɜ",_K|_r
Scots_2-eo,"e(o) → ɛ",e|eo,"ɛ",
Scots_2-u,"u → ʊ → ɵ → ʌ",u,"ʊ",
Scots_2-u,"u → ʊ → ɵ → ʌ","ʊ","ɵ",
Scots_2-u,"u → ʊ → ɵ → ʌ","ɵ","ʌ",
"Scots_2-uː","uː → u","uː",u,
Scots_2-o,"o → ʌ / P_r",o,"ʌ",P_r
"Scots_2-æ","æ → ɑ / _{x,l}","æ","ɑ",_x|_l
"Scots_2-æɑ","æ(ɑ) → e","æ|æɑ",e,
"Scots_2-ɔɡ,j","ɔ{ɡ,j} → ʌu","ɔɡ|ɔj","ʌu",
"Scots_2-ɑː","ɑː → e / ! _{ŋ,n}","ɑː",e,"_ŋ|_n"
"Scots_2-ʌ","ʌ → ɪi (sporadic)","ʌ","ɪi",
Scots_2-a,"a → ɪ / “unstressed and/or final”",a,"ɪ",
Scots_2-N,"N → ∅ / _C ! _%C",N,"∅",_C ! _%C
Scots_2-xw,"xw → ʍ",xw,"ʍ",
Scots_2-S+-voice,"S[+ voice] → S[- voice] / _#","S[+ voice]","S[- voice]",_#
"Scots_2-d~ð","d~ð → d / V_u","d~ð",d,V_u
"Scots_2-d~ð_2","d~ð → ð / V_V","d~ð","ð",V_V
Scots_2-t,"t → ∅ / p_",t,"∅",p_
"Scots_2-dʒ","dʒ → tʃ / _#","dʒ","tʃ",_#
"Scots_2-f,v","{f,v} → ∅ / {l,r,V}_ (sometimes blocked)",f|v,"∅",l_|r_|V_
"Scots_2-ð","ð → ∅ / {l,r,V}_C","ð","∅",l_C|r_C|V_C
"Scots_2-θ","θ → h / _ɪ","θ",h,"_ɪ"
"Scots_2-θ_2","θ → f / {V,r}_# (sometimes blocked)","θ",f,V_#|r_#
"Scots_2-θ_3","θ → ∅","θ","∅",
Scots_2-V,"V → Vː / _{r,F[+ voice],V,#}",V,"Vː","_r|_F[+ voice]|_V|_#"
Scots_2-m,"m → n / _f",m,n,_f
Scots_2-e_2,"e → ɛ / “unstressed”",e,"ɛ",
"Scots_2-∅","∅ → ə̆ / _{n,r}","∅","ə̆",_n|_r
Scots_2-k,"k → ∅ / n_t (sporadic)",k,"∅",n_t
Scots_2-m_2,"m → ∅ / _n",m,"∅",_n
Scots_2-l,"l → ∅ / u_",l,"∅",u_
Scots_2-l_2,"l → u / {ɔ,ɑ}_",l,u,"ɔ_|ɑ_"
"Scots_2-ɔu,ɑu","{ɔu,ɑu} → ɑ","ɔu|ɑu","ɑ",
Scots_2-t_2,"t → d / r_",t,d,r_
"Scots_2-w,k","{w,k} → ∅ / _{n,r}",w|k,"∅",_n|_r
Scots_2-m_3,"m → n / _f",m,n,_f
Scots_2-s,"s → ʂ / _{t,r}",s,"ʂ",_t|_r
Scots_2-t_3,"t → ʈ / _r",t,"ʈ",_r
Scots_2-t_4,"t → ʔ / V_V",t,"ʔ",V_V
Scots_2-t_5,"t → ʔ / _#",t,"ʔ",_#
Scots_2-u_2,"u → ʏ",u,"ʏ",
Falkirk-Scots-pVn-tVn-kVn,"pVn tVn kVn → ʔm̩ ʔn̩ ʔŋ̩ / _#",pVn,"ʔm̩",_#
Falkirk-Scots-pVn-tVn-kVn,"pVn tVn kVn → ʔm̩ ʔn̩ ʔŋ̩ / _#",tVn,"ʔn̩",_#
Falkirk-Scots-pVn-tVn-kVn,"pVn tVn kVn → ʔm̩ ʔn̩ ʔŋ̩ / _#",kVn,"ʔŋ̩",_#
Falkirk-Scots-V,"V → Ṽː / _nC “(works across word boundaries)”",V,"Ṽː",_nC
Falkirk-Scots-n,"n → ∅ / V_C (in words of more than one syllable)",n,"∅",V_C
Falkirk-Scots-k,"k → ç / V_# ! _C “(sometimes)”; “(except when phonemic)”",k,"ç",V_# ! _C
"Falkirk-Scots-ɡ","ɡ → ʝ / V_# ! _C “(most times)”","ɡ","ʝ",V_# ! _C
Falkirk-Scots-p-b,"p b → ɸ β / {#,V}_ ! _C",p,"ɸ",#_|V_ ! _C
Falkirk-Scots-p-b,"p b → ɸ β / {#,V}_ ! _C",b,"β",#_|V_ ! _C
Falkirk-Scots-V_2,"V → Ṽ / N_",V,"Ṽ",N_
Falkirk-Scots-n_2,"n → ∅ / V_V# “in some disyllabic words”",n,"∅",V_V#
Falkirk-Scots-l,"l → ʟ",l,"ʟ",
"Falkirk-Scots-ʟ","ʟ → ʊ / {a,ɛ}_, typically ! _V","ʟ","ʊ","a_,|ɛ_,"
"Southern-Middle-English-Vː","Vː → V[-long] / _C{ː,C} ! _st{#,V} or when preceding a cluster which had triggered a vowel to become long in Old English; the book gives “Christ” vs. “Christmas” as an example","Vː",V[-long],"_Cː|_CC ! _st#|_stV"
"Southern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː","eɑ","ɑ",
"Southern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː","eːɑ","ɛː",
"Southern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː",eo,e,
"Southern-Middle-English-eɑ-eːɑ-eo-eːo","eɑ eːɑ eo eːo → ɑ ɛː e eː","eːo","eː",
"Southern-Middle-English-æj","æj → aj → ej","æj",aj,
"Southern-Middle-English-æj","æj → aj → ej",aj,ej,
"Southern-Middle-English-æːj,eːj","{æːj,e(ː)j} → ej","æːj|ej|æːj|eːj",ej,
"Southern-Middle-English-ɑɣ","ɑɣ → ɑw","ɑɣ","ɑw",
