ID,Text,From,To,Context
Aari-h1,"h1 → ∅",h1,"∅",
Dime-p,"p → f",p,f,
Dime-z,"z → {d,z} / V_",z,d|z,V_
"Dime-kʼ","kʼ → ɡʼ / #_","kʼ","ɡʼ",#_
"Dime-tʃ","tʃ → ts","tʃ",ts,
Dime-ts,"ts → ʃ / _i",ts,"ʃ",_i
Dime-s1,"s1 → ʃ",s1,"ʃ",
Dime-s2-s3,"s2 s3 → tʃː tʃ / V_",s2,"tʃː",V_
Dime-s2-s3,"s2 s3 → tʃː tʃ / V_",s3,"tʃ",V_
"Proto-Erythrean-tʃ-dʒ","tʃ dʒ → ts dz","tʃ",ts,
"Proto-Erythrean-tʃ-dʒ","tʃ dʒ → ts dz","dʒ",dz,
Proto-Cushitic-b,"b → m / #_Vn",b,m,#_Vn
"Proto-Cushitic-ɡ","ɡ → k / #{d,w}V_","ɡ",k,#dV_|#wV_
"Proto-Cushitic-ɣ","ɣ → ɡ / #_Vx$","ɣ","ɡ",#_Vx$
"Awngi-x,ɢʷ","{x,ɢ}(ʷ) → ∅ / at word boundaries","x|xʷ|ɢ|ɢʷ","∅",
"Awngi-z-dz-ɡ","z dz ɡ → ɡ {z,dz} ɡ(ʷ)",z,"ɡ",
"Awngi-z-dz-ɡ","z dz ɡ → ɡ {z,dz} ɡ(ʷ)",dz,z|dz,
"Awngi-z-dz-ɡ","z dz ɡ → ɡ {z,dz} ɡ(ʷ)","ɡ","ɡ|ɡʷ",
"Awngi-x,ɢʷ_2","{x,ɢ}(ʷ) → ɣ(ʷ)","x|xʷ|ɢ|ɢʷ","ɣ|ɣʷ",
"Awngi-kʼ-kʷʼ","kʼ kʷʼ → {ɣ,q} ɣʷ","kʼ","ɣ|q",
"Awngi-kʼ-kʷʼ","kʼ kʷʼ → {ɣ,q} ɣʷ","kʷʼ","ɣʷ",
"Awngi-ʔ","ʔ → ∅","ʔ","∅",
"Blin-x,ɢʷ","{x,ɢ}(ʷ) → ∅ / at word boundaries","x|xʷ|ɢ|ɢʷ","∅",
"Blin-ɢʷ","ɢ(ʷ) → x(ʷ) / else","ɢ|ɢʷ","x|xʷ",
"Blin-ts,tʃ-z-dz","{ts,tʃ} z dz → ʃ d dʒ","ts|tʃ","ʃ",
"Blin-ts,tʃ-z-dz","{ts,tʃ} z dz → ʃ d dʒ",z,d,
"Blin-ts,tʃ-z-dz","{ts,tʃ} z dz → ʃ d dʒ",dz,"dʒ",
Blin-t,"t → r / medially",t,r,
"Kemantney-x,ɢʷ","{x,ɢ}(ʷ) → ∅ / at word boundaries","x|xʷ|ɢ|ɢʷ","∅",
Kemantney-x,"x → ∅",x,"∅",
"Kemantney-xʷ-ɢʷ","xʷ ɢʷ → w ɣʷ","xʷ",w,
"Kemantney-xʷ-ɢʷ","xʷ ɢʷ → w ɣʷ","ɢʷ","ɣʷ",
"Kemantney-ts,tʃ-dz","{ts,tʃ} dz → ʃ dʒ","ts|tʃ","ʃ",
"Kemantney-ts,tʃ-dz","{ts,tʃ} dz → ʃ dʒ",dz,"dʒ",
Kemantney-t,"t → j / medially",t,j,
"Kemantney-kʼ","kʼ → χʷ / #_","kʼ","χʷ",#_
"Kemantney-kʷʼ","kʷʼ → χʷ","kʷʼ","χʷ",
